uid,title,learn_url,repository_path,levels,roles,products,subjects,service,source,author,ms_author,ms_date,hidden,inclusion_reasons
learn.philanthropies.a-guide-to-artifical-intelligence,A guide to artificial intelligence,https://learn.microsoft.com/training/modules/a-guide-to-artificial-intelligence/,learn-pr/philanthropies/a-guide-to-artificial-intelligence/index.yml,beginner,k-12-educator; higher-ed-educator; business-user; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
learn.philanthropies.accelerate-nonprofit-funding-solutions-microsoft-copilot,Accelerate nonprofit funding solutions with Microsoft Copilot,https://learn.microsoft.com/training/modules/accelerate-nonprofit-funding-solutions-microsoft-copilot/,learn-pr/philanthropies/accelerate-nonprofit-funding-solutions-microsoft-copilot/index.yml,beginner,functional-consultant; higher-ed-educator; school-leader; k-12-educator; business-user; business-owner,foundry-tools; m365-apps; ms-copilot,artificial-intelligence; business-applications,artificial-intelligence,philanthropies,CourtneyHMicrosoft,anruss,01/14/2025,False,Product metadata
learn.azure.azure-speech-services-tutorials-mrtk,Add Azure AI services to your mixed reality project,https://learn.microsoft.com/training/modules/azure-speech-services-tutorials-mrtk/,learn-pr/azure/azure-speech-services-tutorials-mrtk/index.yml,beginner,developer,windows; windows-mixed-reality; mrtk; hololens; azure; mrtk,mixed-reality,foundry-tools,azure,marlenaklein-msft,marlenaklein,01/17/2024,False,Service metadata
learn.wwl.tracing-generative-ai-app,Analyze and debug your generative AI app with tracing,https://learn.microsoft.com/training/modules/tracing-generative-ai-app/,learn-pr/wwl-data-ai/tracing-generative-ai-app/index.yml,intermediate,ai-engineer,azure; foundry-tools,artificial-intelligence; app-development,microsoft-foundry,wwl-data-ai,wwlpublish,madiepev,08/06/2025,False,Product metadata; Service metadata; Content mention
learn.wwl.analyze-images-with-content-understanding,Analyze images with Content Understanding,https://learn.microsoft.com/training/modules/analyze-images-with-content-understanding/,learn-pr/wwl-data-ai/analyze-images-with-content-understanding/index.yml,intermediate,ai-engineer,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,buzahid,buzahid,03/04/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.analyze-text-ai-language,Analyze text with Azure Language in Foundry Tools,https://learn.microsoft.com/training/modules/analyze-text-ai-language/,learn-pr/wwl-data-ai/analyze-text-ai-language/index.yml,intermediate,ai-engineer; developer,microsoft-foundry,artificial-intelligence,foundry-tools,wwl-data-ai,ivorb,berryivor,07/08/2026,False,Product metadata; Service metadata
learn.philanthropies.apply-responsible-ai-principles,Apply responsible AI principles in learning environments,https://learn.microsoft.com/training/modules/apply-responsible-ai-principles/,learn-pr/philanthropies/apply-responsible-ai-principles/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,03/25/2025,False,Product metadata
learn.wwl.apply-task-decomposition-multi-agent-azure,Apply task decomposition and agent collaboration strategies in Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-apply-task-decomposition-multi-agent-azure/,learn-pr/wwl-data-ai/aaai-apply-task-decomposition-multi-agent-azure/index.yml,advanced,ai-engineer; solution-architect,azure; microsoft-foundry; foundry-agent-service,artificial-intelligence,microsoft-foundry,wwl-data-ai,petender,petender,7/27/2026,False,Product metadata; Service metadata; Content mention
learn.architect-scalable-t-solutions,Architect scalable and cost-efficient AI agent solutions on Azure,https://learn.microsoft.com/training/modules/architect-scalable-ai-agent-solutions/,learn-pr/advocates/architect-scalable-ai-agent-solutions/index.yml,intermediate,developer,microsoft-foundry; foundry-tools; azure-openai; ms-copilot,artificial-intelligence,artificial-intelligence,advocates,Orin-Thomas,orthomas,10/1/2025,False,Product metadata
learn.wwl.automated-evaluation-genaiops,Automate AI evaluations with Microsoft Foundry and GitHub Actions,https://learn.microsoft.com/training/modules/automated-evaluation-genaiops/,learn-pr/wwl-data-ai/automated-evaluation-genaiops/index.yml,intermediate,data-scientist; ai-engineer; devops-engineer; developer,azure; foundry-tools; github,cloud-computing; artificial-intelligence; machine-learning; devops,foundry-tools,wwl-data-ai,madiepev,madiepev,02/22/2026,False,Product metadata; Service metadata; Content mention
learn.azure.build-3d-scene-mixed-reality-unity,Build a 3D Scene for mixed reality in Unity,https://learn.microsoft.com/training/modules/build-3d-scene-mixed-reality-unity/,learn-pr/azure/build-3d-scene-mixed-reality-unity/index.yml,beginner,developer; business-owner; student; technology-manager,azure; azure-cloud-services; foundry-tools; azure-digital-twins; azure-iot; azure-iot-hub; azure-signalr-service; azure-functions; hololens; windows; windows-mixed-reality,mixed-reality,mixed-reality,azure,JBrentJ,jejacks,03/12/2024,False,Product metadata
learn.wwl.build-agent-workflows-microsoft-foundry,Build agent-driven workflows using Microsoft Foundry,https://learn.microsoft.com/training/modules/build-agent-workflows-microsoft-foundry/,learn-pr/wwl-data-ai/build-agent-workflows-microsoft-foundry/index.yml,beginner,ai-engineer; data-scientist; developer; solution-architect; student,microsoft-foundry,artificial-intelligence,microsoft-foundry,wwl-data-ai,buzahid,buzahid,5/29/2026,False,Product metadata; Service metadata; Content mention
