module_title,module_url,catalog_level,rubric_level,level_difference
A guide to artificial intelligence,https://learn.microsoft.com/training/modules/a-guide-to-artificial-intelligence/,beginner,L100,0
Accelerate nonprofit funding solutions with Microsoft Copilot,https://learn.microsoft.com/training/modules/accelerate-nonprofit-funding-solutions-microsoft-copilot/,beginner,L200,1
Add Azure AI services to your mixed reality project,https://learn.microsoft.com/training/modules/azure-speech-services-tutorials-mrtk/,beginner,L200,1
Analyze and debug your generative AI app with tracing,https://learn.microsoft.com/training/modules/tracing-generative-ai-app/,intermediate,L300,0
Analyze images with Content Understanding,https://learn.microsoft.com/training/modules/analyze-images-with-content-understanding/,intermediate,L300,0
Analyze text with Azure Language in Foundry Tools,https://learn.microsoft.com/training/modules/analyze-text-ai-language/,intermediate,L300,0
Apply responsible AI principles in learning environments,https://learn.microsoft.com/training/modules/apply-responsible-ai-principles/,beginner,L200,1
Apply task decomposition and agent collaboration strategies in Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-apply-task-decomposition-multi-agent-azure/,advanced,L200,-1
Architect scalable and cost-efficient AI agent solutions on Azure,https://learn.microsoft.com/training/modules/architect-scalable-ai-agent-solutions/,intermediate,L300,0
Automate AI evaluations with Microsoft Foundry and GitHub Actions,https://learn.microsoft.com/training/modules/automated-evaluation-genaiops/,intermediate,L300,0
Build a 3D Scene for mixed reality in Unity,https://learn.microsoft.com/training/modules/build-3d-scene-mixed-reality-unity/,beginner,L200,1
Build agent-driven workflows using Microsoft Foundry,https://learn.microsoft.com/training/modules/build-agent-workflows-microsoft-foundry/,beginner,L200,1
Build AI-powered solutions using SQL Server 2025,https://learn.microsoft.com/training/modules/build-ai-solutions-sql-server/,beginner,L200,1
Build and extend AI agents with Microsoft Foundry,https://learn.microsoft.com/training/modules/build-extend-ai-agents/,intermediate,L300,0
Build enterprise-grade tool ecosystems with MCP and Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-build-enterprise-tool-ecosystems-mcp-azure/,advanced,L200,-1
Build knowledge-enhanced AI agents with Foundry IQ,https://learn.microsoft.com/training/modules/introduction-foundry-iq/,intermediate,L200,0
"Build the vision - visual content creation with Copilot, Designer & Clipchamp",https://learn.microsoft.com/training/modules/build-vision/,beginner,L200,1
Challenge project - Build a speech translator app,https://learn.microsoft.com/training/modules/challenge-project-build-speech-translator-app/,beginner,L200,1
Configure 3D assets for mixed reality in Unity,https://learn.microsoft.com/training/modules/configure-3d-assets-mixed-reality-unity/,beginner,L200,1
Configure AI Gateway security in Microsoft Foundry,https://learn.microsoft.com/training/modules/configure-ai-gateway-security-foundry/,intermediate,L200,0
Configure AI-ready infrastructure with Microsoft Foundry,https://learn.microsoft.com/training/modules/configure-ai-ready-infrastructure-microsoft-foundry/,intermediate,L200,0
Configure and manage guardrails in Microsoft Foundry,https://learn.microsoft.com/training/modules/azure-ai-foundry-configure-manage-guardrails/,intermediate,L200,0
Configure network security for Azure Storage,https://learn.microsoft.com/training/modules/configure-network-security-azure-storage/,intermediate,L200,0
Connect IoT data to mixed reality with Azure Digital Twins and Unity,https://learn.microsoft.com/training/modules/connect-iot-hololens-azure-digital-twins-unity/,intermediate,L200,0
Connect IoT devices to Azure AI Speech using Azure Functions,https://learn.microsoft.com/training/modules/connecting-iot-devices-cognitive-services-azure-functions/,intermediate,L200,0
Convert Oracle schemas to Azure Database for PostgreSQL by using AI,https://learn.microsoft.com/training/modules/convert-oracle-schema-azure-database-postgresql-ai/,intermediate,L200,0
Create a knowledge mining solution with Azure AI Search,https://learn.microsoft.com/training/modules/ai-knowldge-mining/,intermediate,L200,0
Create a large language model deployment,https://learn.microsoft.com/training/modules/large-language-model-deployment/,beginner,L200,1
Create a multimodal analysis solution with Azure Content Understanding,https://learn.microsoft.com/training/modules/analyze-content-ai/,beginner,L200,1
Create an Azure Content Understanding client application,https://learn.microsoft.com/training/modules/analyze-content-ai-api/,intermediate,L200,0
"Create an image recognition solution with Azure IoT Edge, Azure AI Custom Vision, and Azure Speech",https://learn.microsoft.com/training/modules/create-image-recognition-solution-iot-edge-cognitive-services/,intermediate,L200,0
Create effective prompts for generative AI training tools,https://learn.microsoft.com/training/modules/create-prompts-for-generative-ai-training-tools/,beginner,L200,1
Create images with generative AI,https://learn.microsoft.com/training/modules/create-images-with-generative-ai/,beginner,L200,1
Create speech-enabled apps with Azure Speech in Microsoft Foundry Tools,https://learn.microsoft.com/training/modules/create-speech-enabled-apps/,intermediate,L200,0
Debug and respond to production multi-agent incidents in Azure,https://learn.microsoft.com/training/modules/aaai-debug-production-multi-agent-incidents-azure/,advanced,L300,-1
Design advanced prompting strategies for production AI agents,https://learn.microsoft.com/training/modules/aaai-design-advanced-prompt-production-agents/,advanced,L300,-1
Design AI agents for business solutions,https://learn.microsoft.com/training/modules/design-ai-agents-business-solutions/,advanced,L300,-1
Design AI Workloads on Azure,https://learn.microsoft.com/training/modules/design-ai-workloads/,intermediate,L300,0
Design ALM process for AI-powered business solutions,https://learn.microsoft.com/training/modules/design-alm-process-ai-powered-business-solutions/,intermediate,L300,0
Design enterprise-scale agent communication with A2A in Azure,https://learn.microsoft.com/training/modules/aaai-design-enterprise-agent-communication-a2a/,advanced,L300,-1
Design evaluation frameworks for multi-agent solutions with Microsoft Foundry,https://learn.microsoft.com/training/modules/aaai-design-evaluation-frameworks-multi-agent-azure/,advanced,L300,-1
Design extensibility of AI solutions,https://learn.microsoft.com/training/modules/design-extensibility-ai-solutions/,advanced,L300,-1
Design human-in-the-loop approval workflows with Power Automate and Microsoft Teams,https://learn.microsoft.com/training/modules/aaai-design-human-in-loop-approval-workflows/,advanced,L300,-1
Design multi-agent memory architectures with Azure Cosmos DB,https://learn.microsoft.com/training/modules/aaai-design-multi-agent-memory-azure-cosmos-db/,advanced,L300,-1
"Design responsible AI security, governance, risk management, and compliance",https://learn.microsoft.com/training/modules/design-responsible-ai-security-governance-risk-management-compliance/,advanced,L300,-1
Design stateful agentic loops with Microsoft Foundry agent service,https://learn.microsoft.com/training/modules/aaai-design-agentic-loops-azure-ai-agent-service/,advanced,L300,-1
Develop a generative AI chat app with Microsoft Foundry,https://learn.microsoft.com/training/modules/foundry-sdk/,beginner,L200,1
Develop a speech agent with the Azure Speech MCP server,https://learn.microsoft.com/training/modules/develop-speech-agent-speech-mcp/,intermediate,L200,0
Develop a speech-capable generative AI application,https://learn.microsoft.com/training/modules/develop-generative-ai-audio-apps/,intermediate,L200,0
Develop a text analysis agent with the Azure Language MCP server,https://learn.microsoft.com/training/modules/develop-text-analysis-agent-language-mcp/,intermediate,L200,0
Develop a vision-enabled generative AI application,https://learn.microsoft.com/training/modules/develop-generative-ai-vision-apps/,intermediate,L200,0
Develop AI agents with Microsoft Foundry and Visual Studio Code,https://learn.microsoft.com/training/modules/develop-ai-agents-azure-vs-code/,intermediate,L200,0
Develop an AI agent with Microsoft Agent Framework,https://learn.microsoft.com/training/modules/develop-ai-agent-with-semantic-kernel/,intermediate,L200,0
Develop an AI app with the Microsoft Foundry SDK,https://learn.microsoft.com/training/modules/ai-foundry-sdk/,beginner,L200,1
Develop an Azure Speech Voice Live Agent in Microsoft Foundry,https://learn.microsoft.com/training/modules/develop-voice-live-agent/,intermediate,L200,0
Develop generative AI apps that use tools,https://learn.microsoft.com/training/modules/use-generative-ai-tools/,beginner,L200,1
Develop your first agent with Microsoft Foundry,https://learn.microsoft.com/training/modules/develop-first-agent/,beginner,L200,1
Discover Azure AI Agents with A2A,https://learn.microsoft.com/training/modules/discover-agents-with-a2a/,intermediate,L100,-1
Embrace responsible AI principles and practices,https://learn.microsoft.com/training/modules/embrace-responsible-ai-principles-practices/,beginner,L200,1
Enhance nonprofit volunteer management with Microsoft Copilot,https://learn.microsoft.com/training/modules/enhance-nonprofit-volunteer-management-microsoft-copilot/,beginner,L200,1
Evaluate and optimize AI agents through structured experiments,https://learn.microsoft.com/training/modules/evaluate-optimize-agents/,intermediate,L400,1
Explore AI governance for AI ready infrastructure,https://learn.microsoft.com/training/modules/explore-ai-governance-ai-ready-infrastructure/,intermediate,L100,-1
Explore data roles and services,https://learn.microsoft.com/training/modules/explore-roles-responsibilities-world-of-data/,beginner,L100,0
Exploring artificial intelligence in action,https://learn.microsoft.com/training/modules/exploring-artificial-intelligence-in-action/,beginner,L100,0
Extract data with Azure Document Intelligence,https://learn.microsoft.com/training/modules/extract-data-with-document-intelligence/,intermediate,L200,0
Extract insights using Azure Language and Azure Database for PostgreSQL,https://learn.microsoft.com/training/modules/extract-insights-using-azure-ai-language-azure-database-postgresq/,intermediate,L200,0
Forecast the return on investment (ROI) of AI agents,https://learn.microsoft.com/training/modules/forecast-agent-return-investment/,intermediate,L400,1
Generate images with AI,https://learn.microsoft.com/training/modules/generate-images-azure-openai/,intermediate,L200,0
Generate videos with Microsoft Foundry,https://learn.microsoft.com/training/modules/generate-video-with-foundry/,intermediate,L200,0
Get started with AI agent development on Azure,https://learn.microsoft.com/training/modules/ai-agent-fundamentals/,beginner,L100,0
