Sample_ID,Product,Modality,Skilling,Course[Course ID],Course[Course Title],Course[Url],Course[CourseDuration],Course[Modality],Course[CourseKey],Course[Is Active],Course[Credit Hours],Course[Description],Course[CreateDate],Course[Hosted Training Organization],Course[SourceSystem],Skill,Skill_Category,Sub_Category,Content_Level,Skill_Level,Course_Hours,Detected_Language
1,AI Business Solutions,Online Course,AI Business Solutions Role Fundamentals for Solution Engineers,S9304645,AI Business Solutions Role Fundamentals for Solution Engineers,https://learningplayer.microsoft.com/activity/S9304645/launch,55m,Online Course,1671871,Yes,0.9200000166893004,"Join this course to gain a solid understanding of the FY26 role for AI Business Solution Engineers. This course provides a comprehensive overview of the role’s scope, and core responsibilities. You’ll also explore the strategic priorities and key changes shaping the role in FY26, equipping you with the insights needed to succeed in the year ahead.",8/28/2025 12:00:00 AM,MCAPS Academy,SuccessFactors,AI Business Solutions,Technical Skills,AI & ML Technologies,Beginner,L100,0.9166666666666666,en
2,AI Business Solutions,Online Course,AI Business Solutions STU Sales Excellence,S9304682,AI Business Solutions STU Sales Excellence,https://learningplayer.microsoft.com/activity/S9304682/launch,2h 28m,Online Course,1671889,Yes,2.4700000286102295,"In this course, we unpack account planning, outline Copilot and Agents Orchestration, review consumption and opportunity management, and review ABS programs and offerings.",8/29/2025 12:00:00 AM,MCAPS Academy,SuccessFactors,AI Business Solutions,Technical Skills,AI & ML Technologies,Beginner,L100,2.466666666666667,en
3,AI Services,Online Course,AI Hub Gateway: Quick Walkthrough of Gateway Capabilities,S9293803,AI Hub Gateway: Quick Walkthrough of Gateway Capabilities,https://learningplayer.microsoft.com/activity/S9293803/launch,7m,Online Course,1663817,Yes,0.1199999973177909,"The main focus is of this video is APIM, showcasing its out-of-the-box provisioning with Azure Open AI and Azure AI Search APIs. The demo includes testing chat completions, embedding endpoints, and RBAC capabilities, highlighting integration and monitoring features.",12/5/2024 12:00:00 AM,MCAPS Academy,SuccessFactors,AI Services,Technical Skills,AI & ML Technologies,Beginner,L100,0.1166666666666666,en
4,AI Services,Online Course,Text Analytics for health overview,B7EEDDD5-A94B-40F3-9468-49B8680E197C,Text Analytics for health overview,https://learn.microsoft.com/en-us/training/modules/healthcare-text-analytics/?WT.mc_id=api_CatalogApi,52m,Online Course,1028967,Yes,,"Work with health data, learn about Azure Cognitive Services, and explore Text Analytics outputs in this module.",3/1/2023 12:00:00 AM,,MSLearn,AI Services,Technical Skills,AI & ML Technologies,Beginner,L100,0.8666666666666667,en
5,Azure OpenAI,LearningPath,Designated Engineering Time Get your data talking with Azure OpenAI,8282,Designated Engineering Time Get your data talking with Azure OpenAI,https://learningpath.microsoft.com/8282,,LearningPath,979959,Yes,,LP: Designated Engineering Time Get your data talking with Azure OpenAI,8/17/2023 12:00:00 AM,WW Readiness Sponsored,LearningAdminCentral,Azure OpenAI,Technical Skills,AI & ML Technologies,Beginner,L100,,en
6,Azure OpenAI,Online Course,Azure OpenAI Service DREAM Demo 1.0,S9277628,Azure OpenAI Service DREAM Demo 1.0,https://learningplayer.microsoft.com/activity/S9277628/launch,18m,Online Course,1654930,Yes,0.3000000119209289,"This demo showcases the capabilities of the Azure OpenAI Service, DALL-E 2 and Computer Vision that leverages Florence-based AI models.",1/30/2024 12:00:00 AM,Employee Learning & Development,SuccessFactors,Azure OpenAI,Technical Skills,AI & ML Technologies,Beginner,L100,0.3,en
7,Azure OpenAI,Online Course,Azure OpenAI in .NET,4511662,Azure OpenAI in .NET,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fazure-openai-in-dot-net-23362861%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,2h 7m,Online Course,1007480,Yes,,"Explore the world of Azure OpenAI through the lens of a .NET developer. Join Robert Eichenseer—a senior services engineer at Microsoft—as he provides an overview of Azure OpenAI, demonstrating how to enrich existing application functionality with AI or use it to create brand-new .NET projects. Throughout the course, Robert includes hands-on challenges and demos that lend a real-world context to each lesson.",2/14/2024 12:00:00 AM,LIL,LinkedInLearning,Azure OpenAI,Technical Skills,AI & ML Technologies,Beginner,L100,2.1166666666666667,en
8,Azure OpenAI,Online Course,Generate text and conversations with .NET and Azure OpenAI Completions,F7974110-8244-476A-A024-F55B5055D142,Generate text and conversations with .NET and Azure OpenAI Completions,https://learn.microsoft.com/en-us/training/modules/open-ai-dotnet-text-completions/?WT.mc_id=api_CatalogApi,40m,Online Course,1030831,Yes,,Learn how to use the .NET SDK with the Azure OpenAI service to have your applications carry on conversations with users in natural language.,8/30/2023 12:00:00 AM,,MSLearn,Azure OpenAI,Technical Skills,AI & ML Technologies,Beginner,L100,0.6666666666666666,en
9,Cloud & AI,LearningPath,Microsoft Sovereign Cloud,12002,Microsoft Sovereign Cloud,https://learningpath.microsoft.com/12002,10m,LearningPath,978038,Yes,,"After completing this Sovereign Cloud learning path, you will be able to confidently articulate Microsoft digital sovereignty strategy, assess customer requirements, and design secure, compliant solutions across Sovereign Public, Private, and AI scenarios. You will also gain the technical and strategic capability to lead presales conversations, guide partners through regulatory and architectural decisions, and implement Sovereign Cloud deployments using Azure Local, residency controls, governance frameworks, and confidential computing.",1/16/2026 12:00:00 AM,MCAPS Academy,LearningAdminCentral,Cloud & AI,Technical Skills,AI & ML Technologies,Advanced,L400,0.1666666666666666,en
10,Cloud & AI,LearningPath,Operational Excellence Series,11517,Operational Excellence Series,https://learningpath.microsoft.com/11517,8h,LearningPath,977825,Yes,,"Learn how to achieve Operational Excellence in CSU roles by applying principles, processes, and tools to meet role expectations and priorities efficiently, delivering more value to customers and increasing cloud consumption.",10/2/2025 12:00:00 AM,MCAPS Academy,LearningAdminCentral,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,8.0,en
11,Cloud & AI,LearningPath,Services AE and Services Manager (LP12121),12121,Services AE and Services Manager (LP12121),https://learningpath.microsoft.com/12121,1h 38m,LearningPath,978102,Yes,,"Learn skills to position and shape Services Sales deals by applying AI, data, security, and cloud platform capabilities across the full customer lifecycle, accelerating time to value for customers.",2/13/2026 12:00:00 AM,MCAPS Academy,LearningAdminCentral,Cloud & AI,Technical Skills,AI & ML Technologies,Beginner,L100,1.6333333333333333,en
