learning_path_title,live_url,description,repository_path,foundry_module_count,total_module_count,foundry_module_titles,foundry_module_uids
AI concepts for developers and technology professionals,https://learn.microsoft.com/training/paths/ai-concepts/,"Learn core AI concepts and terminology, starting with a basic introduction and then diving into common AI workloads like: Generative AI and agents Computer vision Speech Natural language processing and text analysis Information extraction Retrieval-augmented generation (RAG)",learn-pr/paths/ai-concepts/index.yml,6,7,Introduction to generative AI and agents | Introduction to natural language processing concepts | Introduction to AI speech concepts | Introduction to computer vision concepts | Introduction to AI-powered information extraction concepts | Introduction to retrieval-augmented generation concepts,learn.wwl.fundamentals-generative-ai | learn.wwl.introduction-language | learn.wwl.introduction-ai-speech | learn.wwl.introduction-computer-vision | learn.wwl.introduction-information-extraction | learn.wwl.rag-fundamentals
AI in special education,https://learn.microsoft.com/training/paths/ai-in-special-education/,"This course supports educators in exploring how Microsoft AI tools can be thoughtfully used in special education environments to reduce administrative demands, strengthen accessibility, and support clear communication with families. Throughout the learning path, responsible use of AI, privacy, and transparency are emphasized so educators can determine when and how AI fits into their practice in ways that align with student needs and professional values. After completing this learning path, educators will be able to: Explain how AI tools can support inclusive, accessible learning experiences while keeping educator expertise and decision‑making central. Identify ways AI can streamline administrative and documentation tasks to reduce educator workload and reclaim time for instruction and collaboration. Use AI features to communicate clearly and accessibly with families, including multilingual learners. Apply Microsoft AI tools with professional judgment, educator oversight, and attention to privacy, compliance, and responsible use.",learn-pr/paths/ai-in-special-education/index.yml,2,5,Apply responsible AI principles in learning environments | Support multilingual and accessible family communication,learn.philanthropies.apply-responsible-ai-principles | learn.wwl.support-multilingual-accessible-family-communication
AI workload governance and DLP,https://learn.microsoft.com/training/paths/ai-workloads-governance/,"AI workloads require not just performance—but precision in governance and data protection. This learning path guides Cloud Administrators through the essentials of data loss prevention (DLP) and AI policy governance in Azure. You’ll explore techniques to restrict data movement and enforce guardrails using Azure Policy. By the end of these modules, you'll be equipped to implement robust governance strategies that protect sensitive information and ensure responsible use of AI at scale.",learn-pr/paths/ai-workloads-governance/index.yml,1,2,Govern AI services with Azure Policy,learn.govern-ai-services-azure-policy
An AI toolbox for trainers,https://learn.microsoft.com/training/paths/ai-toolbox-for-trainers/,"In today's fast-paced digital era, artificial intelligence (AI) is changing the way we train and educate. This learning path is designed to equip you with an understanding of how AI tools can transform a learning environment. Throughout this learning path, you'll explore how AI can elevate the training experience, build engaging content, and foster a more inclusive training environment. You'll also explore the advantages of integrating AI-powered productivity tools into your daily educational practices. By the end of this learning path, you'll be equipped to design and implement training ecosystems that apply AI tools to enhance the training process.",learn-pr/paths/ai-toolbox-for-trainers/index.yml,4,4,Implement AI tools into a training environment | Streamline training plans with AI tools | Use AI tools to create an inclusive learning environment | Training with AI tools,learn.philanthropies.implement-ai-tools-into-training-environment | learn.philanthropies.streamline-training-plans-with-ai-tools | learn.philanthropies.use-ai-tools-to-create-inclusive-learning-environment | learn.philanthropies.training-with-ai-tools
Architect AI solutions for business productivity,https://learn.microsoft.com/training/paths/architect-agentic-ai-business-solutions/,"Discover how to design and implement AI-powered business solutions using agents, generative AI, and Microsoft Copilot. Gain the skills to analyze requirements and create innovative solutions that enhance productivity and efficiency.",learn-pr/paths/architect-agentic-ai-business-solutions/index.yml,4,11,"Design AI agents for business solutions | Design extensibility of AI solutions | Design ALM process for AI-powered business solutions | Design responsible AI security, governance, risk management, and compliance",learn.wwl.design-ai-agents-business-solutions | learn.wwl.design-extensibility-ai-solutions | learn.wwl.design-alm-process-ai-powered-business-solutions | learn.wwl.design-responsible-ai-security-governance-risk-management-compliance
Architect production-grade multi-agent AI solutions in Azure,https://learn.microsoft.com/training/paths/aaai-1-architect-production-grade-multi-agent-ai-solutions/,"Production-grade multi-agent AI solutions require a deep understanding of agentic architectures, orchestration patterns, and communication strategies. This learning path will guide you through the essential concepts and best practices for building scalable and maintainable multi-agent systems in Azure.",learn-pr/paths/aaai-1-architect-production-grade-multi-agent-ai-solutions/index.yml,4,4,Design stateful agentic loops with Microsoft Foundry agent service | Implement advanced multi-agent orchestration patterns in Microsoft Foundry | Apply task decomposition and agent collaboration strategies in Microsoft Foundry | Design enterprise-scale agent communication with A2A in Azure,learn.wwl.design-agentic-loops-microsoft-foundry-agent-service | learn.wwl.implement-multi-agent-orchestration-azure-ai-foundry | learn.wwl.apply-task-decomposition-multi-agent-azure | learn.wwl.design-enterprise-agent-communication-a2a
Build AI Apps with Azure Database for PostgreSQL,https://learn.microsoft.com/training/paths/build-ai-apps-azure-database-postgresql/,This learning path explores how the Azure AI and Azure Machine Learning Services integrations provided by the Azure AI extension for Azure Database for PostgreSQL - Flexible Server can enable you to build AI-powered apps.,learn-pr/paths/build-ai-apps-azure-database-postgresql/index.yml,1,6,Implement generative AI agents with Azure Database for PostgreSQL,learn.wwl.implement-generative-ai-agents-azure-postgresql
Build mixed reality digital twins with Azure Digital Twins and Unity,https://learn.microsoft.com/training/paths/build-mixed-reality-azure-digital-twins-unity/,"Learn how to create a mixed reality application using Azure Digital Twins and Unity, a real-time 3D platform.",learn-pr/paths/build-mixed-reality-azure-digital-twins-unity/index.yml,4,4,Set up a mixed reality project for Azure Digital Twins in Unity | Build a 3D Scene for mixed reality in Unity | Configure 3D assets for mixed reality in Unity | Connect IoT data to mixed reality with Azure Digital Twins and Unity,learn.azure.set-up-mixed-reality-azure-digital-twins-unity | learn.azure.build-3d-scene-mixed-reality-unity | learn.azure.configure-3d-assets-mixed-reality-unity | learn.azure.connect-iot-hololens-azure-digital-twins-unity
Build production-grade multi-agent capabilities with Microsoft Foundry,https://learn.microsoft.com/training/paths/aaai-2-build-production-grade-multi-agent-capabilities-microsoft-foundry/,"Production-grade multi-agent capabilities require a deep understanding of agentic architectures, orchestration patterns, and communication strategies. This learning path will guide you through the essential concepts and best practices for building scalable and maintainable multi-agent systems with Microsoft Foundry.",learn-pr/paths/aaai-2-build-production-grade-multi-agent-capabilities-microsoft-foundry/index.yml,4,4,Design advanced prompting strategies for production AI agents | Build enterprise-grade tool ecosystems with MCP and Microsoft Foundry | Implement advanced RAG pipelines with Azure AI Search and Microsoft Foundry | Design multi-agent memory architectures with Azure Cosmos DB,learn.wwl.design-advanced-prompting-production-agents | learn.wwl.build-enterprise-tool-ecosystems-mcp-azure | learn.wwl.implement-advanced-rag-azure-ai-search | learn.wwl.design-multi-agent-memory-azure-cosmos-db
Create an AI agent with Microsoft Foundry (Microsoft Applied Skill),https://learn.microsoft.com/training/paths/apl-3031/,This learning path prepares you for the Microsoft Applied Skill Create an AI agent with Microsoft Foundry .,learn-pr/paths/apl-3031/index.yml,1,1,Get started with AI agent development on Azure,learn.wwl.ai-agent-fundamentals
